cell	nCount_SCT	nFeature_SCT	seurat_clusters
X161_177	24583	5791	10
X142_179	25217	5748	7
X129_184	25059	6485	2
X151_189	25154	6085	5
X122_186	23708	5129	5
X131_188	23731	5122	2
X122_168	24037	3836	1
X128_183	23725	4978	2
X161_180	23859	5177	10
X151_162	24872	6043	0
X144_166	25128	6566	5
X144_165	25185	6641	4
X131_173	23671	5097	13
X154_181	25276	6004	5
X123_167	24004	3973	1
X150_174	25031	6523	8
X135_182	23716	5320	7
X126_188	23808	4789	2
X132_172	25205	5725	13
X125_169	23729	5147	4
X130_162	23226	3852	1
X144_182	25236	5767	8
X141_175	23734	4396	6
X142_172	23823	5112	6
X115_189	25049	6120	3
X125_187	23723	4762	2
X150_176	25196	6403	8
X135_171	23677	5001	13
X148_189	25228	5935	5
X154_170	23197	3855	1
X141_177	23684	5062	7
X129_188	23721	5106	2
X149_186	25153	6200	5
X124_170	23735	5159	4
X143_180	23676	4825	8
X142_163	25330	5867	4
X154_188	25098	5555	5
X131_180	23688	5205	2
X120_172	25215	6226	3
X132_164	23879	5330	4
X161_174	24499	5696	10
X121_192	23981	3989	1
X132_186	24093	5452	2
X119_179	24112	4283	4
X147_167	25184	6922	0
X122_189	23714	5014	9
X130_168	25236	5659	4
X131_190	25169	5649	1
X150_177	24469	6092	11
X138_187	25005	4652	12
X132_174	24560	5521	13
X131_186	23664	5115	2
X155_178	25230	6569	11
X134_169	23657	5300	2
X147_192	25240	5936	0
X121_191	25009	5989	9
X153_173	25181	6097	8
X148_173	24860	6327	8
X165_176	25046	6285	10
X129_176	23739	4534	2
X125_193	23681	4825	3
X143_184	23662	4493	7
X118_180	25019	5619	4
X130_164	24072	5423	3
X119_181	23742	4670	9
X154_193	23662	3768	0
X152_177	25162	6526	11
X117_178	25275	5564	6
X134_160	25306	5443	1
X127_186	23784	4820	2
X133_173	23820	4545	13
X149_177	24266	6223	8
X154_171	23829	4634	0
X124_192	23812	4618	4
X132_192	23771	4761	5
X146_187	25242	5958	5
X138_174	23682	5049	6
X149_170	25185	6467	1
X127_181	24145	5514	2
X124_183	23676	5434	2
X159_180	25242	6273	10
X135_173	25210	5716	6
X143_185	23716	4556	7
X126_195	23727	4790	3
X137_172	24257	5391	6
X136_192	23786	4709	7
X144_170	23681	5487	2
X130_192	23744	4467	4
X157_189	23794	4471	0
X126_176	24010	4040	0
X126_168	23718	4611	4
X130_171	24407	5583	2
X149_168	25253	6230	0
X164_177	24975	6219	10
X151_194	23233	4384	0
X144_193	25347	5933	0
X162_177	24073	5435	10
X114_182	24012	3955	3
X118_181	23770	4507	4
X146_177	25371	6023	5
